ID,Name,Set,ImageURL,Confidence,Note
imp-is-00003,Venusaur EX SIR 198/165,151,https://raw.githubusercontent.com/ItemSixHQ/tcg-binder/main/_for-website/venusaur-ex-sir-151.png,High,
imp-is-00004,Carmine SIR 217/167,Twilight Masquerade,https://raw.githubusercontent.com/ItemSixHQ/tcg-binder/main/_for-website/carmine-sir-twilight-masquerade.png,High,
imp-is-00026,Piplup IR 098/094,Phantasmal Flames,https://raw.githubusercontent.com/ItemSixHQ/tcg-binder/main/_for-website/piplup-ir-phantasmal-flames.jpg,High,
imp-is-00032,Delibird IR 152/132,Mega Evolution,https://raw.githubusercontent.com/ItemSixHQ/tcg-binder/main/_for-website/delibird-ir-mega-evolution.jpg,High,
imp-is-00102,Gengar TG06/TG30,Lost Origin,https://raw.githubusercontent.com/ItemSixHQ/tcg-binder/main/_for-website/gengar-tg-lost-origin.jpg,High,
imp-is-00103,Gengar TG06/TG30,Lost Origin,https://raw.githubusercontent.com/ItemSixHQ/tcg-binder/main/_for-website/gengar-tg-lost-origin.jpg,High,
imp-is-00108,Mew EX 216/091,Paldean Fates,https://raw.githubusercontent.com/ItemSixHQ/tcg-binder/main/_for-website/mew-ex-sir-paldean-fates.png,High,
imp-is-00109,Wailord IR 162/159,Journey Together,https://raw.githubusercontent.com/ItemSixHQ/tcg-binder/main/_for-website/wailord-ir-journey-together.png,High,
imp-is-00132,Gardevoir EX SIR 245/198,Scarlet & Violet,https://raw.githubusercontent.com/ItemSixHQ/tcg-binder/main/_for-website/gardevoir-ex-sir-scarlet-violet.png,High,
imp-is-00133,Piplup IR 098/094,Phantasmal Flames,https://raw.githubusercontent.com/ItemSixHQ/tcg-binder/main/_for-website/piplup-ir-phantasmal-flames.jpg,High,
imp-is-00135,Bulbasaur IR 166/165,151,https://raw.githubusercontent.com/ItemSixHQ/tcg-binder/main/_for-website/bulbasaur-ir-151.jpg,High,
imp-is-00136,Ivysaur IR 167/165,151,https://raw.githubusercontent.com/ItemSixHQ/tcg-binder/main/_for-website/ivysaur-ir-151.jpg,High,
imp-is-00141,Piplup IR 098/094,Phantasmal Flames,https://raw.githubusercontent.com/ItemSixHQ/tcg-binder/main/_for-website/piplup-ir-phantasmal-flames.jpg,High,
imp-is-00142,Piplup IR 098/094,Phantasmal Flames,https://raw.githubusercontent.com/ItemSixHQ/tcg-binder/main/_for-website/piplup-ir-phantasmal-flames.jpg,High,
imp-is-00143,Piplup IR 098/094,Phantasmal Flames,https://raw.githubusercontent.com/ItemSixHQ/tcg-binder/main/_for-website/piplup-ir-phantasmal-flames.jpg,High,
imp-is-00144,Piplup IR 098/094,Phantasmal Flames,https://raw.githubusercontent.com/ItemSixHQ/tcg-binder/main/_for-website/piplup-ir-phantasmal-flames.jpg,High,
imp-is-00145,Piplup IR 098/094,Phantasmal Flames,https://raw.githubusercontent.com/ItemSixHQ/tcg-binder/main/_for-website/piplup-ir-phantasmal-flames.jpg,High,
imp-is-00156,Persian IR 078/064,Shrouded Fable,https://raw.githubusercontent.com/ItemSixHQ/tcg-binder/main/_for-website/persian-ir-shrouded-fable.png,High,
imp-is-00188,Rayquaza VMAX TG29/TG30,Silver Tempest,https://raw.githubusercontent.com/ItemSixHQ/tcg-binder/main/_for-website/rayquaza-vmax-tg-silver-tempest.jpg,High,Photo is labeled TG20/TG30 not TG29/TG30 -- likely just a typo in your sheet since there's only one Rayquaza VMAX in that Trainer Gallery subset; worth a quick glance to confirm
imp-is-00215,Raichu IR 211/193,Paldea Evolved,https://raw.githubusercontent.com/ItemSixHQ/tcg-binder/main/_for-website/raichu-ir-paldea-evolved.png,High,
imp-is-00216,Bulbasaur IR 166/165,151,https://raw.githubusercontent.com/ItemSixHQ/tcg-binder/main/_for-website/bulbasaur-ir-151.jpg,High,
imp-is-00232,Ninetails IR,Obsidian Flames,https://raw.githubusercontent.com/ItemSixHQ/tcg-binder/main/_for-website/ninetails-ir-obsidian-flames.png,High,
imp-is-00241,Misty's Lapras IR 194/182,Destined Rivals,https://raw.githubusercontent.com/ItemSixHQ/tcg-binder/main/_for-website/mistys-lapras-ir-destined-rivals.jpg,High,
imp-is-00256,Articuno IR,Journey Together,https://raw.githubusercontent.com/ItemSixHQ/tcg-binder/main/_for-website/articuno-ir-journey-together.png,High,
imp-is-00257,Tornadus V Alt Art,Chilling Reign,https://raw.githubusercontent.com/ItemSixHQ/tcg-binder/main/_for-website/tornadus-v-alt-art-chilling-reign.jpg,High,
imp-is-00258,Arceus V Alt Art,Brilliant Stars,https://raw.githubusercontent.com/ItemSixHQ/tcg-binder/main/_for-website/arceus-v-alt-art-brilliant-stars.jpg,High,
imp-is-00261,Hisuain Lilligant V Alt Art,Astral Radiance,https://raw.githubusercontent.com/ItemSixHQ/tcg-binder/main/_for-website/hisuian-lilligant-v-alt-art-astral-radiance.jpg,High,
imp-is-00005,Shining Magikarp 66/64,Celebrations,https://raw.githubusercontent.com/ItemSixHQ/tcg-binder/main/_for-website/shining-magikarp-celebrations.jpg,Medium,Double-check this is the exact print you're selling
imp-is-00012,Lickitung IR 180/162,Temporal Forces,https://raw.githubusercontent.com/ItemSixHQ/tcg-binder/main/_for-website/lickitung-ir.jpg,High,
imp-is-00124,Umbreon EX SIR PSA 8,Prismatic Evolutions,https://raw.githubusercontent.com/ItemSixHQ/tcg-binder/main/_for-website/umbreon-ex-sir-prismatic-evolutions.jpg,Medium,This is the raw card art not a PSA 8 slab photo -- swap if you want the actual graded slab shown
imp-is-00153,Raikou V AA GG41/GG70,Crown Zenith,https://raw.githubusercontent.com/ItemSixHQ/tcg-binder/main/_for-website/raikou-v-gg-crown-zenith.jpg,High,
imp-is-00234,Mew #11,Celebrations,https://raw.githubusercontent.com/ItemSixHQ/tcg-binder/main/_for-website/mew-celebrations-secret-rare.png,Medium,"Celebrations has two different Mew cards -- a plain reprint (011/025) and this Secret Rare (025/025) -- this photo is the Secret Rare, so double-check that's actually what these 6 listings are before using it"
imp-is-00235,Mew #11,Celebrations,https://raw.githubusercontent.com/ItemSixHQ/tcg-binder/main/_for-website/mew-celebrations-secret-rare.png,Medium,"Celebrations has two different Mew cards -- a plain reprint (011/025) and this Secret Rare (025/025) -- this photo is the Secret Rare, so double-check that's actually what these 6 listings are before using it"
imp-is-00236,Mew #11,Celebrations,https://raw.githubusercontent.com/ItemSixHQ/tcg-binder/main/_for-website/mew-celebrations-secret-rare.png,Medium,"Celebrations has two different Mew cards -- a plain reprint (011/025) and this Secret Rare (025/025) -- this photo is the Secret Rare, so double-check that's actually what these 6 listings are before using it"
imp-is-00237,Mew #11,Celebrations,https://raw.githubusercontent.com/ItemSixHQ/tcg-binder/main/_for-website/mew-celebrations-secret-rare.png,Medium,"Celebrations has two different Mew cards -- a plain reprint (011/025) and this Secret Rare (025/025) -- this photo is the Secret Rare, so double-check that's actually what these 6 listings are before using it"
imp-is-00238,Mew #11,Celebrations,https://raw.githubusercontent.com/ItemSixHQ/tcg-binder/main/_for-website/mew-celebrations-secret-rare.png,Medium,"Celebrations has two different Mew cards -- a plain reprint (011/025) and this Secret Rare (025/025) -- this photo is the Secret Rare, so double-check that's actually what these 6 listings are before using it"
imp-is-00239,Mew #11,Celebrations,https://raw.githubusercontent.com/ItemSixHQ/tcg-binder/main/_for-website/mew-celebrations-secret-rare.png,Medium,"Celebrations has two different Mew cards -- a plain reprint (011/025) and this Secret Rare (025/025) -- this photo is the Secret Rare, so double-check that's actually what these 6 listings are before using it"
